canonical_model,rank,provider_id,provider_name,model_key,input_usd_per_mtok,output_usd_per_mtok
claude-sonnet-4-6,1,xpersona,Xpersona,claude-sonnet-4-6,0.9,5.55
claude-sonnet-4-6,2,modelis,Modelis,claude-sonnet-4-6,3,15
claude-sonnet-4-6,3,auriko,Auriko,claude-sonnet-4-6,3,15
claude-sonnet-4-6,4,freemodel,FreeModel,claude-sonnet-4-6,3,15
claude-sonnet-4-6,5,impossibl,Impossibl,anthropic/claude-sonnet-4-6,3,15
claude-sonnet-4-6,6,llmgateway-providers,LLM Gateway,vertex-anthropic/claude-sonnet-4-6,3,15
claude-sonnet-4-6,7,llmgateway-providers,LLM Gateway,aws-bedrock/claude-sonnet-4-6,3,15
claude-sonnet-4-6,8,llmgateway-providers,LLM Gateway,anthropic/claude-sonnet-4-6,3,15
claude-sonnet-4-6,9,aihubmix,AIHubMix,claude-sonnet-4-6,3,15
claude-sonnet-4-6,10,routing-run,routing.run,claude-sonnet-4-6,3,15
claude-opus-5,1,nano-gpt,NanoGPT,anthropic/claude-opus-5,5,25
claude-opus-5,2,digitalocean,DigitalOcean,anthropic-claude-opus-5,5,25
claude-opus-5,3,vivgrid,Vivgrid,claude-opus-5,5,25
claude-opus-5,4,llmgateway-providers,LLM Gateway,aws-bedrock/claude-opus-5,5,25
claude-opus-5,5,llmgateway-providers,LLM Gateway,anthropic/claude-opus-5,5,25
claude-opus-5,6,llmgateway-providers,LLM Gateway,azure-anthropic/claude-opus-5,5,25
claude-opus-5,7,aihubmix,AIHubMix,claude-opus-5,5,25
claude-opus-5,8,orcarouter,OrcaRouter,anthropic/claude-opus-5,5,25
claude-opus-5,9,azure-cognitive-services,Azure Cognitive Services,claude-opus-5,5,25
claude-opus-5,10,google-vertex,Vertex,claude-opus-5@default,5,25
gpt-6-astra,1,ofox,Ofox,openai/gpt-6-astra,8,40
gpt-6-astra,2,nano-gpt,NanoGPT,openai/gpt-6-astra-pro,10,50
gpt-6-astra,3,nano-gpt,NanoGPT,openai/gpt-6-astra,10,50
gpt-6-astra,4,digitalocean,DigitalOcean,openai-gpt-6-astra,10,50
gpt-6-astra,5,vivgrid,Vivgrid,gpt-6-astra,10,50
gpt-6-astra,6,llmgateway-providers,LLM Gateway,aws-mantle/gpt-6-astra,10,50
gpt-6-astra,7,llmgateway-providers,LLM Gateway,azure/gpt-6-astra,10,50
gpt-6-astra,8,llmgateway-providers,LLM Gateway,openai/gpt-6-astra,10,50
gpt-6-astra,9,requesty,Requesty,gpt-6-astra,10,50
gpt-6-astra,10,crossmodel,CrossModel,openai/gpt-6-astra,10,50
gpt-5.5,1,unorouter,UnoRouter,gpt-5.5,0.1875,1.125
gpt-5.5,2,xpersona,Xpersona,gpt-5.5,1.5,12
gpt-5.5,3,xpersona,Xpersona,xpersona-gpt-5.5,3,18
gpt-5.5,4,ofox,Ofox,openai/gpt-5.5,4,24
gpt-5.5,5,poe,Poe,openai/gpt-5.5,4.5455,27.2727
gpt-5.5,6,nano-gpt,NanoGPT,openai/gpt-5.5,5,30
gpt-5.5,7,digitalocean,DigitalOcean,openai-gpt-5.5,5,30
gpt-5.5,8,vivgrid,Vivgrid,gpt-5.5,5,30
gpt-5.5,9,freemodel,FreeModel,gpt-5.5,5,30
gpt-5.5,10,impossibl,Impossibl,openai/gpt-5.5,5,30
gemini-3-pro,1,poe,Poe,google/gemini-3-pro,1.6,9.6
gemini-3-pro,2,databricks,Databricks,databricks-gemini-3-pro,2,12
gemini-3-pro,3,opencode,OpenCode Zen,gemini-3-pro,2,12
deepseek-v4,1,merge-gateway,Merge Gateway,deepseek/deepseek-v4-flash-0731,0.035,0.07
deepseek-v4,2,merge-gateway,Merge Gateway,deepseek/deepseek-v4-flash,0.035,0.07
deepseek-v4,3,openrouter,OpenRouter,deepseek/deepseek-v4-flash,0.03668,0.07336
deepseek-v4,4,kilo,Kilo Gateway,~deepseek/deepseek-v4-flash-latest,0.04,0.08
deepseek-v4,5,openrouter,OpenRouter,~deepseek/deepseek-v4-flash-latest,0.04,0.08
deepseek-v4,6,openrouter,OpenRouter,deepseek/deepseek-v4-flash-0731,0.04,0.08
deepseek-v4,7,llmgateway-providers,LLM Gateway,consensusprotocol/deepseek-v4-flash,0.05,0.1
deepseek-v4,8,llmgateway,DevPass (LLM Gateway),deepseek-v4-flash,0.05,0.1
deepseek-v4,9,crof,CrofAI,deepseek-v4-flash-0731,0.08,0.1
deepseek-v4,10,llmgateway-providers,LLM Gateway,gonka24/deepseek-v4-flash,0.051,0.104
glm-5,1,tokengo,TokenGo,z-ai/glm-5.3-flash,0.075,0.025
glm-5,2,merge-gateway,Merge Gateway,zai/glm-5.3-flash,0.015,0.05
