model_slug,name,provider,release_date,aa_intelligence_index,terminal_bench_v4,context_window_tokens,ctx_ge_1m,image_input,api_input_usd_per_m,api_output_usd_per_m,aa_blended_price_1_1_usd_per_m,aa_ii_asof
claude-fable-5-1,"Claude Fable 5.1 (Adaptive Reasoning, Max Effort, Default Fallback)",Anthropic,2026-09-01,53.35,0.52,1000000,YES,YES,10,50,30,2026-09-20
gpt-6-astra,GPT-6 Astra (max),OpenAI,2026-09-03,52.67,0.591,1000000,YES,YES,10,50,30,2026-09-20
claude-opus-5,"Claude Opus 5 (Adaptive Reasoning, Max Effort)",Anthropic,2026-07-24,50.78,0.49,1000000,YES,YES,5,25,15,2026-09-20
claude-fable-5,"Claude Fable 5 (Adaptive Reasoning, Max Effort, Opus 4.8 Fallback)",Anthropic,2026-06-09,49.7,0.424,1000000,YES,YES,10,50,30,2026-09-13
muse-spark-1-3,Muse Spark 1.3 (max),Meta,2026-09-02,48.09,0.333,1000000,YES,YES,1.25,4.25,2.75,2026-09-20
gpt-5-6-sol,GPT-5.6 Sol (max),OpenAI,2026-07-09,46.97,0.399,1000000,YES,YES,4,20,12,2026-09-20
qwen3-8-max,Qwen3.8 Max,Alibaba,2026-08-03,45.42,0.187,1000000,YES,YES,2,6,4,2026-09-20
glm-5-3,GLM-5.3 (max),Z AI,2026-08-18,44.78,0.419,1000000,YES,NO,1.4,4.4,2.9000000000000004,2026-09-20
grok-4-6,Grok 4.6 (high),SpaceXAI,2026-08-12,44.31,0.212,500000,NO,YES,2,6,4,2026-09-20
step-5,Step 5 Preview,StepFun,2026-09 (preview),43.73,,0,UNKNOWN,UNKNOWN,,,,2026-09-20
kimi-k3,Kimi K3 (max),Kimi,2026-07-16,43.59,0.126,1048576,YES,YES,3,15,9,2026-09-20
gpt-5-6-terra,GPT-5.6 Terra (max),OpenAI,2026-07-09,42.08,0.354,1000000,YES,YES,2,12,7,2026-09-20
claude-opus-4-8,"Claude Opus 4.8 (Adaptive Reasoning, Max Effort)",Anthropic,2026-05-28,41.99,0.217,1000000,YES,YES,5,25,15,2026-09-13
glm-5-3-flash,GLM-5.3-Flash,Z AI,2026-08-26,41.81,0.328,1000000,YES,YES,0.15,0.5,0.325,2026-09-20
gemini-3-8-flash,Gemini 3.8 Flash (high),Google,2026-09-02,40.93,0.197,1000000,YES,YES,0.75,3.75,2.25,2026-09-20
qwen3-8-2-4t-a95b,Qwen3.8 2.4T A95B,Alibaba,2026-08-12,40.04,0.111,983616,NO,NO,2,6,4,2026-09-13
qwen3-8-flash-next,Qwen3.8-Flash-Next,Alibaba,2026-08-26,39.91,0.253,256000,NO,YES,0.15,0.47,0.31,2026-09-13
muse-spark-1-2,Muse Spark 1.2 (xhigh),Meta,2026-08-05,39.8,0.071,1048576,YES,YES,1.25,4.25,2.75,2026-09-13
deepseek-v4-1-flash,"DeepSeek V4.1 Flash (Reasoning, Max Effort)",DeepSeek,2026-09-10,39.46,0.268,1000000,YES,YES,0.3,1.2,0.75,2026-09-20
gemini-3-7-flash,Gemini 3.7 Flash (high),Google,2026-08-13,39.43,0.136,1000000,YES,YES,0.75,3.75,2.25,2026-09-13
grok-4-5,Grok 4.5 (high),SpaceXAI,2026-07-08,39.08,0.106,500000,NO,YES,2,6,4,2026-09-13
gpt-5-5,GPT-5.5 (xhigh),OpenAI,2026-04-23,38.63,0.146,922000,NO,YES,5,30,17.5,2026-09-13
claude-sonnet-5,"Claude Sonnet 5 (Adaptive Reasoning, Max Effort)",Anthropic,2026-06-30,38.36,0.141,1000000,YES,YES,2,10,6,2026-09-13
gpt-5-6-luna,GPT-5.6 Luna (max),OpenAI,2026-07-09,37.32,0.116,1000000,YES,YES,0.2,1.2,0.7,2026-09-20
deepseek-v4-pro,"DeepSeek V4 Pro 0813 (Reasoning, Max Effort)",DeepSeek,2026-08-13,36.00,0.141,1000000,YES,NO,1.32,3.96,2.64,2026-09-20
agnes-3-0-flash,Agnes 3.0 Flash,Sapiens AI,2026-09-11,35.5,0.071,1000000,YES,YES,0.05,0.15,0.1,2026-09-13
gemini-3-6-flash,Gemini 3.6 Flash (high),Google,2026-07-21,34.34,0.071,1000000,YES,YES,0.75,3.75,2.25,2026-09-13
glm-5-2,GLM-5.2 (max),Z AI,2026-06-16,34.01,0.01,1000000,YES,NO,1.4,4.4,2.9000000000000004,2026-09-13
qwen3-8-27b,Qwen3.8 27B (xhigh),Alibaba,2026-09-02,33.70,,0,UNKNOWN,UNKNOWN,,,,2026-09-20
gpt-5-3-codex,GPT-5.3 Codex (xhigh),OpenAI,2026-02-05,32.5,,400000,NO,YES,1.75,14,7.875,2026-09-13
kimi-k2-6,Kimi K2.6,Kimi,2026-04-20,31.32,,256000,NO,YES,0.95,4,2.475,2026-09-13
k2-horizon-375b-a23b,K2 Horizon 375B A23B,MBZUAI Institute of Foundation Models,2026-09-03,30.50,0.015,524288,NO,NO,,,,2026-09-20
gemini-3-1-pro-preview,Gemini 3.1 Pro Preview,Google,2026-02-19,30.36,0.04,1000000,YES,YES,2,12,7,2026-09-13
qwen3-7-max,Qwen3.7 Max,Alibaba,2026-05-19,29.87,0.015,1000000,YES,NO,2.5,7.5,5,2026-09-13
minimax-m3,MiniMax-M3,MiniMax,2026-06-01,29.22,0.02,1000000,YES,YES,0.3,1.2,0.75,2026-09-20
mimo-v2-5-pro,MiMo-V2.5-Pro,Xiaomi,2026-04-22,26.41,0,1000000,YES,NO,0.435,0.87,0.6525,2026-09-13
kimi-k2-7-code,Kimi K2.7 Code,Kimi,2026-06-12,26.27,0.01,256000,NO,YES,0.95,4,2.475,2026-09-13
hy3,Hy3,Tencent,2026-07-06,25.77,0.005,256000,NO,NO,0.136,0.554,0.34500000000000003,2026-09-13
inkling,Inkling,UNKNOWN (new lab),2026-09,24.98,,0,UNKNOWN,UNKNOWN,,,,2026-09-20
minimax-m2-7,MiniMax-M2.7,MiniMax,2026-03-18,23.22,0,204800,NO,NO,0.3,1.2,0.75,2026-09-13
kat-coder-pro-v2,KAT Coder Pro V2,KwaiKAT,2026-03-27,21.7,,256000,NO,NO,0.3,1.2,0.75,2026-09-13
longcat-2-0,LongCat 2.0,LongCat,2026-06-29,19.69,0,1000000,YES,NO,0.3,1.2,0.75,2026-09-13
muse-glimmer,Muse Glimmer (high),Meta,2026-08-10,18.07,0.005,131072,NO,YES,0.35,1.5,0.925,2026-09-13
doubao-seed-code,Doubao Seed Code,ByteDance Seed,2025-11-11,16.95,,256000,NO,YES,,,,2026-09-13
deepseek-v3-2,DeepSeek V3.2 (Non-reasoning),DeepSeek,2025-12-01,16.04,,128000,NO,NO,0.28,0.42,0.35,2026-09-13
mistral-medium-3-5,Mistral Medium 3.5,Mistral,2026-04-29,14.89,0,256000,NO,YES,1.5,7.5,4.5,2026-09-13
gpt-oss-120b,gpt-oss-120b (high),OpenAI,2025-08-05,12.35,0,131072,NO,NO,0.15,0.595,0.3725,2026-09-13
qwen3-coder-next,Qwen3 Coder Next,Alibaba,2026-02-03,10.05,0,256000,NO,NO,0.35,1.2,0.7749999999999999,2026-09-13
