provider_id,name,api,models,models_with_price,models_paid,models_zero,min_input,min_output,npm,is_plan
302ai,302.AI,https://api.302.ai/v1,117,117,117,0,0.06,0.25,@ai-sdk/openai-compatible,0
abacus,Abacus,https://routellm.abacus.ai/v1,108,108,108,0,0.02,0.05,@ai-sdk/openai-compatible,0
abliteration-ai,abliteration.ai,https://api.abliteration.ai/v1,3,3,3,0,3,3,@ai-sdk/openai-compatible,0
above,above.dev,https://api.above.dev/v1,8,8,8,0,0.165,0.55,@ai-sdk/openai-compatible,0
agentrouter,AgentRouter,https://agentrouter.org/v1,5,0,0,0,,,@ai-sdk/openai-compatible,0
agnes,Agnes AI,https://apihub.agnes-ai.com/v1,3,3,1,2,0.45,0.9,@ai-sdk/openai-compatible,0
ai-router,AI-ROUTER,https://api.ai-router.dev/v1,5,5,5,0,1,6,@ai-sdk/openai-compatible,0
ai21,AI21 Labs,https://api.ai21.com/studio/v1,2,2,2,0,0.2,0.4,@ai-sdk/openai-compatible,0
aiand,ai&,https://api.aiand.com/v1,11,11,11,0,0.15,0.25,@ai-sdk/openai-compatible,0
aihubmix,AIHubMix,,82,82,77,5,0.0282,0.1128,@aihubmix/ai-sdk-provider,0
ainetcafe,ainetcafe,https://microquickjs.com/v1,1,1,1,0,2.1,10.5,@ai-sdk/openai-compatible,0
aixy,Aixy,https://api.aixy-gateway.com/v1,1,1,1,0,0.4,1.6,@ai-sdk/openai-compatible,0
aki-io,AKI.IO,https://aki.io/v1,7,7,7,0,0.1,0.5,@ai-sdk/openai-compatible,0
alibaba,Alibaba,https://dashscope-intl.aliyuncs.com/compatible-mode/v1,56,56,56,0,0.035,0.035,@ai-sdk/openai-compatible,0
alibaba-cn,Alibaba (China),https://dashscope.aliyuncs.com/compatible-mode/v1,90,90,88,2,0.022,0.032,@ai-sdk/openai-compatible,0
alibaba-coding-plan,Alibaba Coding Plan,https://coding-intl.dashscope.aliyuncs.com/v1,12,12,2,10,0.1875,1.125,@ai-sdk/openai-compatible,1
alibaba-coding-plan-cn,Alibaba Coding Plan (China),https://coding.dashscope.aliyuncs.com/v1,12,12,2,10,0.1875,1.125,@ai-sdk/openai-compatible,1
alibaba-token-plan,Alibaba Token Plan,https://token-plan.ap-southeast-1.maas.aliyuncs.com/compatible-mode/v1,28,28,0,28,,,@ai-sdk/openai-compatible,1
alibaba-token-plan-cn,Alibaba Token Plan (China),https://token-plan.cn-beijing.maas.aliyuncs.com/compatible-mode/v1,28,28,0,28,,,@ai-sdk/openai-compatible,1
amazon-bedrock,Amazon Bedrock,,165,165,165,0,0.035,0.04,@ai-sdk/amazon-bedrock,0
ambient,Ambient,https://api.ambient.xyz/v1,10,10,10,0,0.08,0.18,@ai-sdk/openai-compatible,0
amd,AMD,https://developer.amd.com.cn/radeon/api/v1,6,6,5,1,0.124,0.28,@ai-sdk/openai-compatible,0
anthropic,Anthropic,,14,14,14,0,1,5,@ai-sdk/anthropic,0
anyapi,AnyAPI,https://api.anyapi.ai/v1,30,0,0,0,,,@ai-sdk/openai-compatible,0
arcee,Arcee,https://api.arcee.ai/api/v1,7,7,7,0,0.14,0.28,@ai-sdk/openai-compatible,0
atomic-chat,Atomic Chat,http://127.0.0.1:1337/v1,5,5,0,5,,,@ai-sdk/openai-compatible,0
auriko,Auriko,https://api.auriko.ai/v1,15,15,15,0,0.14,0.28,@ai-sdk/openai-compatible,0
azure,Azure,,89,88,88,0,0.02,0.04,@ai-sdk/azure,0
azure-cognitive-services,Azure Cognitive Services,,74,74,74,0,0.02,0.04,@ai-sdk/azure,0
bailing,Bailing,https://api.tbox.cn/api/llm/v1/chat/completions,2,2,2,0,0.57,2.29,@ai-sdk/openai-compatible,0
baseten,Baseten,https://inference.baseten.co/v1,23,23,23,0,0.1,0.26,@ai-sdk/openai-compatible,0
berget,Berget.AI,https://api.berget.ai/v1,6,6,6,0,0.275,0.33,@ai-sdk/openai-compatible,0
blueclaw,Blue Claw,https://openai.blueclaw.network/v1,2,0,0,0,,,@ai-sdk/openai-compatible,0
bothub,Bothub,https://openai.bothub.ru/v1,8,8,6,2,0.06,0.2,@ai-sdk/openai-compatible,0
cerebras,Cerebras,,2,2,2,0,0.35,0.75,@ai-sdk/cerebras,0
chutes,Chutes,https://llm.chutes.ai/v1,14,14,14,0,0.0245,0.0978,@ai-sdk/openai-compatible,0
clarifai,Clarifai,https://api.clarifai.com/v2/ext/openai/v1,12,12,12,0,0.045,0.15,@ai-sdk/openai-compatible,0
claudinio,Claudinio,https://api.claudin.io/v1,2,2,2,0,0.5,2,@ai-sdk/openai-compatible,0
cline-pass,ClinePass,https://api.cline.bot/api/v1,15,15,15,0,0.14,0.28,@ai-sdk/openai-compatible,0
cloudferro-sherlock,CloudFerro Sherlock,https://api-sherlock.cloudferro.com/openai/v1/,5,5,5,0,0.3,0.67,@ai-sdk/openai-compatible,0
cloudflare-ai-gateway,Cloudflare AI Gateway,,47,47,47,0,0.042,0.3,ai-gateway-provider,0
cloudflare-workers-ai,Cloudflare Workers AI,https://api.cloudflare.com/client/v4/accounts/${CLOUDFLARE_ACCOUNT_ID}/ai/v1,27,27,27,0,0.017,0.03,@ai-sdk/openai-compatible,0
cohere,Cohere,,14,10,9,1,0.0375,0.15,@ai-sdk/cohere,0
coralbricks,CoralBricks,https://inference.coralbricks.ai/v1,4,4,4,0,0.12,0.5,@ai-sdk/openai-compatible,0
cortecs,Cortecs,https://api.cortecs.ai/v1,106,106,104,2,0.04,0.111,@ai-sdk/openai-compatible,0
crof,CrofAI,https://crof.ai/v1,24,24,24,0,0.04,0.1,@ai-sdk/openai-compatible,0
crossmodel,CrossModel,https://api.crossmodel.ai/v1,59,59,59,0,0.04,0.13,@ai-sdk/openai-compatible,0
crusoe,Crusoe,https://api.inference.crusoecloud.com/v1,11,11,11,0,0.05,0.2,@ai-sdk/openai-compatible,0
daoxe,DaoXE,https://daoxe.com/v1,9,9,9,0,0.6,2.5,@ai-sdk/openai-compatible,0
databricks,Databricks,https://${DATABRICKS_HOST}/ai-gateway/mlflow/v1,30,30,30,0,0.05,0.2,@ai-sdk/openai-compatible,0
deepinfra,Deep Infra,,68,68,68,0,0.02,0.1,@ai-sdk/deepinfra,0
deepseek,DeepSeek,https://api.deepseek.com,4,4,4,0,0.15,0.6,@ai-sdk/openai-compatible,0
digitalocean,DigitalOcean,https://inference.do-ai.run/v1,97,87,87,0,0.009,0.168,@ai-sdk/openai-compatible,0
dinference,DInference,https://api.dinference.com/v1,6,6,6,0,0.0675,0.27,@ai-sdk/openai-compatible,0
drun,D.Run (China),https://chat.d.run/v1,3,3,3,0,0.28,1.1,@ai-sdk/openai-compatible,0
ebcloud,EBCloud,https://maas-api.ebcloud.com/v1,4,4,4,0,0.143,0.2857,@ai-sdk/openai-compatible,0
echo,Echo,https://echo.tracerml.ai/v1,1,1,1,0,10,50,@ai-sdk/openai-compatible,0
edenai,Eden AI,https://api.edenai.run/v3,279,279,279,0,0.03,0.03,@ai-sdk/openai-compatible,0
empiriolabs,EmpirioLabs AI,https://api.empiriolabs.ai/v1,62,62,58,4,0.03,0.07,@ai-sdk/openai-compatible,0
evroc,evroc,https://models.think.evroc.com/v1,16,16,16,0,0.0023,0.0023,@ai-sdk/openai-compatible,0
fastrouter,FastRouter,https://go.fastrouter.ai/api/v1,47,37,37,0,0.02,0.1,@ai-sdk/openai-compatible,0
fireworks-ai,Fireworks AI,https://api.fireworks.ai/inference/v1/,33,33,33,0,0.05,0.2,@ai-sdk/openai-compatible,0
freemodel,FreeModel,https://cc.freemodel.dev/v1,10,10,10,0,0.75,4.5,@ai-sdk/anthropic,0
friendli,Friendli,https://api.friendli.ai/serverless/v1,7,7,7,0,0.14,0.4,@ai-sdk/openai-compatible,0
frogbot,FrogBot,https://app.frogbot.ai/api/v1,26,26,26,0,0.07,0.2,@ai-sdk/openai-compatible,0
github-copilot,GitHub Copilot,https://api.githubcopilot.com,28,28,28,0,0.2,1.2,@ai-sdk/openai-compatible,0
gitlab,GitLab Duo,,25,25,0,25,,,gitlab-ai-provider,0
gmicloud,GMI Cloud,https://api.gmi-serving.com/v1,15,15,15,0,0.112,0.224,@ai-sdk/openai-compatible,0
google,Google,,39,34,32,2,0.1,0.4,@ai-sdk/google,0
google-vertex,Vertex,,52,52,52,0,0.07,0.25,@ai-sdk/google-vertex,0
google-vertex-anthropic,Vertex (Anthropic),,14,14,14,0,1,5,@ai-sdk/google-vertex/anthropic,0
greenpt,GreenPT,https://api.greenpt.ai/v1,40,40,40,0,0.00437,0.285,@ai-sdk/openai-compatible,0
groq,Groq,,16,10,9,1,0.03,0.03,@ai-sdk/groq,0
helicone,Helicone,https://ai-gateway.helicone.ai/v1,90,90,90,0,0.01,0.01,@ai-sdk/openai-compatible,0
hetzner,Hetzner,https://inference.hetzner.com/api/v1,2,2,0,2,,,@ai-sdk/openai-compatible,0
hpc-ai,HPC-AI,https://api.hpc-ai.com/inference/v1,9,9,9,0,0.14,0.28,@ai-sdk/openai-compatible,0
huggingface,Hugging Face,https://router.huggingface.co/v1,77,77,76,1,0.01,0.06,@ai-sdk/openai-compatible,0
hyper,Charm Hyper,https://hyper.charm.land/v1,23,23,23,0,0.098,0.334,@ai-sdk/openai-compatible,0
iflowcn,iFlow,https://apis.iflow.cn/v1,14,14,0,14,,,@ai-sdk/openai-compatible,0
impossibl,Impossibl,https://api.impossibl.com/v1,76,76,76,0,0.05,0.28,@ai-sdk/openai-compatible,0
inception,Inception,https://api.inceptionlabs.ai/v1/,3,3,3,0,0.04,0.15,@ai-sdk/openai-compatible,0
inceptron,Inceptron,https://api.inceptron.io/v1,4,4,4,0,0.13,0.28,@ai-sdk/openai-compatible,0
inco,Inco,https://api.inco.ai/v1,7,7,7,0,0.15,0.5,@ai-sdk/openai-compatible,0
infer,Infer by Flow7,https://infer.flow7.org/v1,2,2,2,0,2.5,12.5,@ai-sdk/openai,0
inference,Inference,https://inference.net/v1,9,9,9,0,0.01,0.01,@ai-sdk/openai-compatible,0
inferx,InferX,https://model.inferx.net/endpoints/v1,12,12,0,12,,,@ai-sdk/openai-compatible,0
infomaniak,Infomaniak,https://api.infomaniak.com/2/ai/${INFOMANIAK_PRODUCT_ID}/openai/v1,10,10,9,1,0.06,0.25,@ai-sdk/openai-compatible,0
io-net,IO.NET,https://api.intelligence.io.solutions/api/v1,17,17,17,0,0.02,0.04,@ai-sdk/openai-compatible,0
iteracompute,IteraCompute,https://api.iteracompute.com/v1,9,9,9,0,0.14,0.49,@ai-sdk/openai-compatible,0
jalapeno,Jalapeno Cloud,https://api.jalapeno-cloud.ai/v1,17,17,17,0,0.14,0.28,@ai-sdk/openai-compatible,0
jiekou,Jiekou.AI,https://api.jiekou.ai/openai,61,61,60,1,0.045,0.36,@ai-sdk/openai-compatible,0
kenari,Kenari,https://kenari.id/v1,59,59,0,59,,,@ai-sdk/openai-compatible,0
kilo,Kilo Gateway,https://api.kilo.ai/api/gateway,378,378,352,26,0.017,0.03,@ai-sdk/openai-compatible,0
kimi-code-plan-cn,Kimi For Coding (kimi.com),https://api.kimi.com/coding/v1,4,4,0,4,,,@ai-sdk/openai-compatible,1
kimi-code-plan-global,Kimi For Coding (kimi.ai),https://api.kimi.ai/coding/v1,4,4,0,4,,,@ai-sdk/openai-compatible,1
klokintegration,klokintegration.se,https://api-gw.klok.ipaas.se/proxy/kloker-key/v1,3,3,3,0,0.23,1.16,@ai-sdk/openai-compatible,0
kosmik,Kosmik Compute,https://api.koscompute.com/v1,1,1,1,0,0.35,2.2,@ai-sdk/openai-compatible,0
kuae-cloud-coding-plan,KUAE Cloud Coding Plan,https://coding-plan-endpoint.kuaecloud.net/v1,1,1,0,1,,,@ai-sdk/openai-compatible,1
lilac,Lilac,https://api.getlilac.com/v1,4,4,4,0,0.11,0.35,@ai-sdk/openai-compatible,0
llama,Llama,https://api.llama.com/compat/v1/,7,7,0,7,,,@ai-sdk/openai-compatible,0
llmgateway,DevPass (LLM Gateway),https://api.llmgateway.io/v1,193,193,190,3,0.03,0.05,@ai-sdk/openai-compatible,0
